[2026-03-18 02:15:46] info: 	z2m: Logging to console, file (filename: log.log)
[2026-03-18 02:15:46] info: 	z2m: Starting Zigbee2MQTT version 2.9.1 (commit #85875aee27caa005946bb5a446080461a0d2fc33
)
[2026-03-18 02:15:46] info: 	z2m: Starting zigbee-herdsman (9.0.9)
[2026-03-18 02:15:46] info: 	zh:adapter:discovery: Matched adapter=ember path=/dev/ttyUSB0, score=4
[2026-03-18 02:15:46] info: 	zh:ember: Using default stack config.
[2026-03-18 02:15:46] info: 	zh:ember: ======== Ember Adapter Starting ========
[2026-03-18 02:15:46] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2026-03-18 02:15:46] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2026-03-18 02:15:46] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2026-03-18 02:15:46] info: 	zh:ember:uart:ash: Serial port opened
[2026-03-18 02:15:46] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2026-03-18 02:15:47] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2026-03-18 02:15:47] info: 	zh:ember:uart:ash: ======== ASH started ========
[2026-03-18 02:15:47] info: 	zh:ember:ezsp: ======== EZSP started ========
[2026-03-18 02:15:47] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2026-03-18 02:15:47] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
[2026-03-18 02:15:47] info: 	zh:ember: [STACK STATUS] Network up.
[2026-03-18 02:15:47] info: 	zh:ember: [INIT TC] Adapter network matches config.
[2026-03-18 02:15:47] info: 	zh:ember: [CONCENTRATOR] Started source route discovery. 1247ms until next broadcast.
[2026-03-18 02:15:47] info: 	z2m: zigbee-herdsman started (resumed)
[2026-03-18 02:15:47] info: 	z2m: Coordinator firmware version: '{"meta":{"build":0,"ezsp":13,"major":7,"minor":4,"patch":4,"revision":"7.4.4 [GA]","special":0,"type":170},"type":"EmberZNet"}'
[2026-03-18 02:15:47] info: 	z2m: Currently 0 devices are joined.
[2026-03-18 02:15:47] info: 	z2m: Connecting to MQTT server at mqtt://mosquitto:1883
[2026-03-18 02:15:47] info: 	z2m: Connected to MQTT server
[2026-03-18 02:15:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-03-18 02:15:47] info: 	z2m: Started frontend on port 8080
[2026-03-18 02:15:47] info: 	z2m: Zigbee2MQTT started!
[2026-03-18 02:15:57] info: 	z2m: Zigbee: allowing new devices to join.
[2026-03-18 02:15:57] info: 	zh:ember: [STACK STATUS] Network opened.
[2026-03-18 02:15:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"time":254},"status":"ok","transaction":"7kqcb-1"}'
[2026-03-18 02:17:35] info: 	zh:controller: Interview for '0x983268fffe00b71e' started
[2026-03-18 02:17:35] info: 	z2m: Device '0x983268fffe00b71e' joined
[2026-03-18 02:17:35] info: 	z2m: Starting interview of '0x983268fffe00b71e'
[2026-03-18 02:17:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x983268fffe00b71e","ieee_address":"0x983268fffe00b71e"},"type":"device_joined"}'
[2026-03-18 02:17:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x983268fffe00b71e","ieee_address":"0x983268fffe00b71e","status":"started"},"type":"device_interview"}'
[2026-03-18 02:17:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"0x983268fffe00b71e","ieee_address":"0x983268fffe00b71e"},"type":"device_announce"}'
[2026-03-18 02:17:40] info: 	zh:controller: Succesfully interviewed '0x983268fffe00b71e'
[2026-03-18 02:17:40] info: 	z2m: Successfully interviewed '0x983268fffe00b71e', device has successfully been paired
[2026-03-18 02:17:40] info: 	z2m: Device '0x983268fffe00b71e' is supported, identified as: SONOFF Zigbee PIR sensor (SNZB-03P)
[2026-03-18 02:17:40] info: 	z2m: Configuring '0x983268fffe00b71e'
